source,target,weight
332240,380640,1
332240,306374,1
332240,350664,1
332240,350827,2
332240,350604,1
332240,306370,1
332240,380632,1
332240,350619,1
332240,350755,1
332240,350615,1
332240,350655,3
332240,348640,2
332240,378665,2
332240,350778,1
332240,426744,1
332240,84606,2
332240,84005,1
332240,378663,2
332240,350603,4
332240,437859,5
332240,438006,5
332240,84004,1
332240,378656,1
332240,350691,3
332240,84639,2
332240,378649,1
332240,419630,3
332240,84010,3
332240,378652,3
332240,434764,2
332240,419629,3
332240,84011,1
332240,350681,3
332240,350729,1
332240,350693,1
332240,84608,1
332240,84630,1
332240,84634,1
332240,350823,1
332240,84605,1
332240,378200,2
332240,350582,1
332240,381432,1
332240,378658,1
332240,350662,1
332240,378071,1
332240,306366,1
332240,350672,1
332240,350676,1
332240,350663,1
332240,84631,3
332240,437687,1
332240,378149,2
332240,434887,1
332240,350590,1
332240,419632,1
350587,350700,2
350587,350655,1
350587,350722,1
350587,350710,1
350587,378665,1
350587,426744,1
350587,84606,2
350587,378663,1
350587,350603,1
350587,437859,3
350587,438006,1
350587,350691,1
350587,84639,1
350587,419630,1
350587,84010,1
350587,378652,1
350587,434764,1
350587,350681,2
350587,378200,1
350587,350582,2
350587,350663,1
350587,350721,1
350587,350724,1
350587,84631,1
350587,434882,1
350587,434884,1
350587,378149,1
350587,434887,1
350587,350590,1
350587,438000,2
350587,378270,2
350700,350655,2
350700,348640,1
350700,378665,1
350700,426744,1
350700,350603,1
350700,437859,1
350700,350691,1
350700,84639,1
350700,419630,1
350700,84010,1
350700,378652,1
350700,434764,1
395120,393795,1
393795,378077,1
393795,378082,1
393795,378665,1
393795,426744,1
393795,84005,1
393795,437859,1
393795,438006,1
393795,438002,1
393795,378649,1
393795,84010,1
393795,438001,1
393795,350662,1
393795,378648,1
393795,378655,1
393795,378664,1
393795,393794,1
393795,378275,1
393795,421819,1
393795,393839,1
393795,394797,1
393795,393846,1
393795,437683,1
393795,393847,1
393795,437689,1
393795,426742,1
393795,437693,1
393795,437687,1
378077,350827,1
378077,378082,3
378077,378665,2
378077,426744,1
378077,84005,1
378077,378663,1
378077,437859,1
378077,438006,2
378077,378656,1
378077,438002,1
378077,378649,2
378077,84010,1
378077,378652,2
378077,350681,1
378077,378200,1
378077,438001,1
378077,378658,1
378077,350662,1
378077,378183,1
378077,330501,2
378077,330499,2
378077,364800,1
378077,364801,1
378077,84631,2
378077,378647,1
378077,378648,2
378077,378651,1
378077,378655,2
378077,378657,1
378077,378664,2
378077,378667,1
378077,393794,1
378077,378275,1
378077,421819,1
378077,393839,1
378077,394797,1
378077,393846,1
378077,437683,1
378077,393847,1
378077,437689,1
378077,426742,1
378077,437693,2
378077,437687,2
378077,378149,1
378077,438000,1
378077,378122,1
378077,426740,2
378077,426738,2
431640,365887,1
431640,351230,3
431640,365888,1
431640,431642,6
431640,378213,7
431640,345252,2
431640,378156,6
431640,378186,2
431640,378035,1
431640,378074,1
365887,350628,1
365887,378063,1
365887,380636,1
365887,380640,2
365887,351230,12
365887,365888,8
365887,378156,4
365887,378186,1
365887,431637,1
365887,373542,1
378069,350706,1
378069,378259,1
378069,350664,1
378069,350604,1
378069,350679,1
378069,350619,6
378069,350774,1
378069,395101,1
378069,308662,1
378069,350729,2
350706,350735,2
350706,378050,2
350706,378259,1
350706,306329,1
350706,350628,1
350706,380640,1
350706,378156,1
350706,350664,1
350706,350679,1
350706,306370,1
350706,350619,3
350706,350764,2
350706,350755,1
350706,350615,1
350706,306226,1
350706,308662,1
350706,369619,2
350706,378205,2
350706,378267,1
350706,381432,2
350706,306366,1
350706,419844,1
350735,378050,3
350735,378259,2
350735,306329,2
350735,380640,1
350735,306374,1
350735,350664,1
350735,350827,1
350735,350604,2
350735,306370,1
350735,380632,1
350735,350619,2
350735,350755,1
350735,350615,1
350735,350655,1
350735,348640,1
350735,378665,1
350735,350778,1
350735,426744,1
350735,378663,1
350735,350603,1
350735,437859,1
350735,438006,1
350735,350729,1
350735,350823,1
350735,381432,1
350735,378658,1
350735,350662,1
350735,378071,1
350735,306366,2
350735,350672,1
350735,350748,1
350735,350766,1
378050,378259,2
378050,306329,2
378050,380640,1
378050,306374,1
378050,350664,1
378050,350827,1
378050,350604,2
378050,306370,1
378050,380632,1
378050,350619,2
378050,350755,1
378050,350615,1
378050,350655,1
378050,348640,1
378050,378665,1
378050,350778,1
378050,378663,1
378050,350603,1
378050,437859,1
378050,438006,1
378050,350729,1
378050,350823,1
378050,381432,1
378050,378658,1
378050,350662,1
378050,378071,1
378050,306366,1
378050,350672,1
378050,421110,1
378050,378070,1
378259,306329,1
378259,380640,1
378259,306374,1
378259,350664,1
378259,350827,1
378259,350604,1
378259,306370,1
378259,380632,1
378259,350619,1
378259,350755,1
378259,350615,1
378259,350655,1
378259,348640,1
378259,378665,1
378259,350778,1
378259,378663,1
378259,350603,1
378259,437859,1
378259,438006,1
378259,350729,1
378259,350823,1
378259,381432,1
378259,378658,1
378259,350662,1
378259,378071,1
378259,306366,1
378259,350672,1
306329,380640,1
306329,306374,1
306329,350664,1
306329,350827,1
306329,350604,1
306329,306370,1
306329,380632,1
306329,350619,1
306329,350755,1
306329,350615,1
306329,350655,1
306329,348640,1
306329,378665,1
306329,350778,1
306329,378663,1
306329,350603,1
306329,437859,1
306329,438006,1
306329,350729,1
306329,350823,1
306329,381432,1
306329,378658,1
306329,350662,1
306329,378071,1
306329,306366,1
306329,350672,1
350628,378063,2
